Sufijo,Número,frec_afijada,frec_pseudoafijada,count_afijada,count_pseudoafijada,prop_frec_afij,prop_count_afij
 elo ,Total,0.0,6538.0,0.0,88.0,0.0,0.0
 elo ,plural ,0.0,305.0,0.0,34.0,0.0,0.0
 elo ,singular ,0.0,6233.0,0.0,54.0,0.0,0.0
 emia ,Total,58.0,156.0,11.0,8.0,0.27102803738317754,0.5789473684210527
 emia ,plural ,0.0,75.0,0.0,4.0,0.0,0.0
 emia ,singular ,58.0,81.0,11.0,4.0,0.4172661870503597,0.7333333333333333
 ena ,Total,534.0,9353.0,20.0,97.0,0.05401031657732376,0.17094017094017094
 ena ,plural ,1.0,61.0,1.0,12.0,0.016129032258064516,0.07692307692307693
 ena ,singular ,533.0,9292.0,19.0,85.0,0.05424936386768448,0.18269230769230768
 enga ,Total,0.0,11.0,0.0,3.0,0.0,0.0
 enga ,singular ,0.0,11.0,0.0,3.0,0.0,0.0
 engo ,Total,0.0,27.0,0.0,6.0,0.0,0.0
 engo ,plural ,0.0,1.0,0.0,1.0,0.0,0.0
 engo ,singular ,0.0,26.0,0.0,5.0,0.0,0.0
 eno ,Total,132.0,9806.0,26.0,105.0,0.013282350573556048,0.1984732824427481
 eno ,plural ,0.0,4865.0,0.0,14.0,0.0,0.0
 eno ,singular ,132.0,4941.0,26.0,91.0,0.026020106445890007,0.2222222222222222
 entero ,Total,0.0,691.0,0.0,6.0,0.0,0.0
 entero ,plural ,0.0,1.0,0.0,1.0,0.0,0.0
 entero ,singular ,0.0,690.0,0.0,5.0,0.0,0.0
 eo ,Total,733.0,2188.0,17.0,82.0,0.2509414584046559,0.1717171717171717
 eo ,plural ,5.0,172.0,3.0,18.0,0.02824858757062147,0.14285714285714285
 eo ,singular ,728.0,2016.0,14.0,64.0,0.2653061224489796,0.1794871794871795
 era ,Total,2635.0,72812.0,285.0,195.0,0.034925179264914445,0.59375
 era ,plural ,254.0,311.0,57.0,30.0,0.4495575221238938,0.6551724137931034
 era ,singular ,2381.0,72501.0,228.0,165.0,0.03179669346438396,0.5801526717557252
 ergia ,Total,0.0,16.0,0.0,1.0,0.0,0.0
